,Unnamed: 0,property_type,society,sector,price,Area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury_score
1501,1501,house,vipul tatvam villa,sector 48,8.5,3240.0,26235.0,Plot area 360(301.01 sq.m.),4,6,3,"pooja room,servant room,others",3.0,North,Old Property,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,360.0,,0,1,0,1,1,0,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",49
1512,1512,house,independent,sector 14,6.4,3150.0,20317.0,Plot area 350(292.64 sq.m.)Built Up area: 349 sq.yards (291.81 sq.m.)Carpet area: 348 sq.yards (290.97 sq.m.),6,6,3+,others,3.0,North,Old Property,"['Sheetla Mata Mandir', 'Hsbc bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Punjab national bank ATM', 'Citi bank ATM', 'Nagpal Nursing Home Gurgaon', 'Apollo Cradle Hospital Gurgaon', 'Kishor Clinic', 'Kalyani Hospital Gurgaon', 'Sheetla Clinic', 'Sangwan Hospital Gurgaon', 'Saraswati Hospital Gurgaon', 'Dr. Babita Sharma', 'Children Hospital', 'Nidhi Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Dr. Tomar Clinic', 'Lotus Hospital Gurgaon', 'Mamta Hospital Gurgaon', 'Sector-14 Market', 'Indian Oil', 'Standard chartered bank', 'Icici bank', 'Hdfc bank', 'Oriental bank of commerce', 'Karur vysay bank', 'Catholic syrian bank', 'State bank of india sbi', 'Rang Parivartan', 'Cafe Coffee Day', 'Dhabba', '32nd Milestone', 'Cafe Coffee Day', 'Ardor 29', 'ADDA', 'Gung the palace Korean restaurant', 'Walking Street', 'Swagath', 'Tocpao', 'Spaghetti Kitchen & Bar', 'distillery', 'Pizza Hut', ""Hops 'N' Brew"", 'KFC', ""Domino's Pizza"", ""McDonald's"", 'Salvan Public School', 'Management Development Institute', 'Lieutenant Atul Kataria School']",,"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,349.0,348.0,0,0,0,0,1,0,"['Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",35
1514,1514,house,eldeco mansionz,sector 48,6.0,2700.0,22222.0,Plot area 300(250.84 sq.m.),4,4,3+,servant room,2.0,East,Moderately old,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Standard chartered ATM', 'Divine Look Clinic Centre', 'Skin Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Best Urologist Atcomplete Family Clinic', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Bones Clinic - Orthopaedics', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Meher Clinic', 'Sai Dharamraj Hospital', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Gobind Hospital', 'Wembley estate club', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'India Oil', 'SRS Cinemas', 'SRS Cinemas', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'Central bank of india', 'Union bank of india', 'State bank of india', ""Domino's Pizza"", ""Nirula's"", 'Nook', 'Starbucks', 'Haldiram', 'India', 'Kamla International', 'Delhi Public School Primary Section']","['4 Wardrobe', '6 Fan', '5 Geyser', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",,300.0,,0,1,0,0,0,0,"['Private Garden / Terrace', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",69
1516,1516,house,nirvana cedar crest,sector 50,7.1,2160.0,32870.0,Plot area 240(200.67 sq.m.)Built Up area: 239 sq.yards (199.83 sq.m.)Carpet area: 238 sq.yards (199 sq.m.),5,4,3,"store room,pooja room,study room",2.0,East,Moderately old,"['Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Neelkanth Health Care', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Dr. Aruna Kalra', 'Skin Clinic', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Divine Look Clinic Centre', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Wembley estate club', 'Gardian Pharmacy', 'Genius', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'India Oil', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'SRS Cinemas', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Kamla International', 'Gurugram University', 'Delhi Public School Primary Section', 'Amity Global School', 'Manav Rachna School', 'Manav Rachna Swimming Pool']","['3 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '1 Dining Table', '4 Geyser', '24 Light', '1 Chimney', '1 Curtains', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,239.0,238.0,1,0,1,1,0,2,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",110
1518,1518,house,vipul tatvam villa,sector 48,5.75,2592.0,22184.0,Plot area 288(240.8 sq.m.)Built Up area: 280 sq.yards (234.12 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),4,4,2,servant room,2.0,West,Moderately old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Fitness Centre / GYM']",,280.0,250.0,0,1,0,0,0,0,"['High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Fitness Centre / GYM']",30
1540,1540,house,sector 14 rwa,sector 14,6.5,3150.0,20635.0,Plot area 350(292.64 sq.m.),4,4,3+,not available,2.0,,Moderately old,"['Sheetla Mata Mandir', 'Hanuman Mandir', 'Hsbc bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Nagpal Nursing Home Gurgaon', 'Kalyani Hospital Gurgaon', 'Saraswati Hospital Gurgaon', 'Kishor Clinic', 'Sheetla Clinic', 'Apollo Cradle Hospital Gurgaon', 'Dr. Babita Sharma', 'Nidhi Clinic', 'Lotus Hospital Gurgaon', 'Children Hospital', 'Mamta Hospital Gurgaon', 'Dr. Tomar Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Sangwan Hospital Gurgaon', 'Ahmed Hospital Multi Speciality', 'Jackson Hospital', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Dental Health Centre', 'M Goel Hospital', 'Nova Care Clinic', 'GH Gurgaon', 'Sector-14 Market', 'Indian Oil', 'IBP Petrol Pump', 'Standard chartered bank', 'Icici bank', 'Hdfc bank', 'Oriental bank of commerce', 'Karur vysay bank', 'Catholic syrian bank', 'State bank of india sbi', 'Punjab national bank', 'Rang Parivartan', 'Cafe Coffee Day', '32nd Milestone', 'Dhabba', 'Cafe Coffee Day', 'Ardor 29', 'ADDA', 'Salvan Public School', 'Management Development Institute', 'Lieutenant Atul Kataria School', 'govt sec school', 'District library gurgaon']",[],,,350.0,,0,0,0,0,0,0,[],0
1541,1541,flat,experion windchants,sector 112,5.6,4848.0,11551.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,6,3+,servant room,8.0,North-East,Relatively New,"['Ansal Plaza', 'Dwaraka Expressway', 'First Step Play School', 'Sri Ma Montessori International', 'Jai Sai Ram Hospital', 'Park Hospital', 'IGI Airport', 'Gurgaon Railway Station']","['7 Fan', '1 Exhaust Fan', '1 Geyser', '6 Light', '6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",4848.0,3655.35,,0,1,0,0,0,2,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",168
1544,1544,house,independent,sector 28,11.0,3240.0,33951.0,Plot area 360(301.01 sq.m.),13,13,3+,"pooja room,study room,servant room",3.0,East,Relatively New,"['Dlf phase 1 metro station', 'Huda city centre metro station', 'Iffco chowk metro station', 'New Life Church', 'Hanuman Mandir', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Rbs ATM', 'Sitaram Bhartia', 'Max Hospital', 'Dr. Kutbuddin Akbary', 'Sidhesh Hospital Gurgaon', 'Umkal Hospital', 'Marwah Clinic', 'Lord Krishna Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Divine Look Clinic Centre 1', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'DT Cinemas', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Fat', 'Nowhere Brewpub and cafe', 'Dighent cafe', 'Drunken Monkey', 'Belgian Waffle', 'CCD', 'The Chicken Boat', 'Naveidyam', 'Balaji Vegetarian Paradise', 'Pizza Hut', 'Barbecue Grill', 'PWO house', 'Food Court', 'Stones2milestones', 'Bahrisons library', 'Ncr library']","['1 Water Purifier', '16 Fan', '1 Exhaust Fan', '1 Dining Table', '13 Geyser', '1 Stove', '80 Light', '12 AC', '1 Modular Kitchen', '3 Chimney', '21 Curtains', '16 Wardrobe', '4 Microwave', 'No Bed', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM']",,360.0,,1,1,0,1,0,1,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM']",122
1561,1561,house,international city by sobha phase 1,sector 109,5.5,2546.0,21605.0,Plot area 270(225.75 sq.m.),4,4,3+,servant room,2.0,North-East,New Property,"['Dwarka sector 21 metro station', 'Pacific D21 Mall', 'Dharampeth Main Road', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi International Airport', 'Gurgaon railway station', 'The Executive Centre', 'Luxus Haritma Resort', ""Oyster's Water Park"", 'BSF Golf Course']","['1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Separate entry for servant room', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",,270.0,,0,1,0,0,0,0,"['Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Separate entry for servant room', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",61
1589,1589,flat,central park resorts,sector 48,9.3,3731.0,24926.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,"pooja room,study room,servant room,store room",10.0,North-East,Moderately old,"['Huda Metro Station', 'Omaxe Celebration Mall', 'Iffco Chowk', 'GD Goenka Public School', 'Cambridge College Of Education', 'Gurugram University', 'Park Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot']","['6 Wardrobe', '8 Fan', '1 Exhaust Fan', '5 Geyser', '16 Light', '8 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Swimming Pool', 'Separate entry for servant room', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",3931.0,3831.0,3731.0,1,1,1,1,0,2,"['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Swimming Pool', 'Separate entry for servant room', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",67
1591,1591,house,adani brahma samsara,sector 60,18.02,6390.0,28200.0,Built Up area: 6390 (593.65 sq.m.),9,12,3+,servant room,3.0,North-East,Relatively New,"['Sector 55-56 Rapid Metro', 'Paras Trinity Mall', 'Golf Course Extension Road', 'Heritage Xperiential Learning School', 'Sushant University', 'Indira Gandhi Eye Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'Zooper India Trampoline Park', 'Teri Golf Course', 'Tennis Vidyalaya (Tennis Academy)', 'PVR Drive in Theatre']","['1 Exhaust Fan', '12 Geyser', '12 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,6390.0,,0,1,0,0,0,2,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",146
1592,1592,flat,pioneer urban presidia,sector 62,6.5,4337.0,14987.0,Super Built up area 4337(402.92 sq.m.),4,4,3+,study room,3.0,West,Moderately old,"['Airia Mall', 'Golf Course Ext Road', 'Heritage Xperiential Learning School', 'Apex Plus Hospital', 'Indira Gandhi International Airport', 'Duke Horse Riding Club', 'DoubleTree by Hilton Hotel', 'SkyJumper Trampoline Park', 'ZEN Golf Range & Academy', 'PVR Drive in Theatre', 'Surajgarh Gurgaon', 'The Banyan Tree Hiking Area']",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",4337.0,,,1,0,0,0,0,0,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",86
1603,1603,flat,m3m golfestate,sector 65,6.1,3363.0,18138.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,"study room,servant room",19.0,North-East,Moderately old,"['Sector 54 Chowk Metro Station', 'Sahara Mall', 'NH 248A', 'Shiksha Bharti Public School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Express Gurugram']","['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Geyser', '18 Light', '5 AC', '1 Chimney', '1 Curtains', '1 Modular Kitchen', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",3363.0,,2710.0,1,1,0,0,0,2,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",174
1610,1610,house,dlf city plots,sector 26,16.0,4235.0,37778.0,Plot area 500(418.06 sq.m.),4,4,3,"study room,pooja room,store room",1.0,,Relatively New,"['Phase 2 Metro Station', 'Grand Mall', 'Jacaranda Marg', 'NH 148A', 'Lancers International School', 'The NorthCap University', 'RBS HOSPITAL', 'Indira Gandhi Intl Airport']",,['Visitor Parking'],,500.0,,1,0,1,1,0,0,['Visitor Parking'],7
1615,1615,house,independent,sector 41,7.0,2475.0,28283.0,Plot area 275(229.94 sq.m.),7,7,3+,"pooja room,study room,servant room,store room",3.0,South-West,Moderately old,"['Huda city centre metro station', 'Axis bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Citi bank ATM', 'Icici ATM', 'Punjab national bank ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Centre For Sight Gurgaon Sector 29', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Shivam Hospital Gurgaon', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Hdfc bank', 'Icici bank', 'Beer & Whisky Bar', 'MoB Ministory of Beer', ""McDonald's"", 'Park Baluchi', ""Domino's Pizza"", 'Zura', 'The Oriental Bloom Chinese and Thai', 'Gola Sizzles', ""Hops 'N' Brew"", 'Pizza Hut', 'Spaghetti Kitchen & Bar', 'Bikanervala', 'Tocpao', 'PWO house', 'Black Mambaa', 'Gravity Space Bar', 'Roots', 'KFC', 'Ardor 29', 'ADDA', 'Gung the palace Korean restaurant', 'Walking Street', 'distillery', 'Swagath', 'Dhabba', 'Pizza Hut', 'Balaji Vegetarian Paradise', 'School of Inspired Leadership SOIL', 'Ncr library']","['1 Water Purifier', '10 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '7 Geyser', '1 Stove', '14 Light', '1 Modular Kitchen', '7 TV', '1 Curtains', '1 Chimney', '7 Wardrobe', '7 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,275.0,,1,1,1,1,0,1,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",151
1629,1629,house,ss aaron ville,sector 49,6.75,4500.0,15000.0,Built Up area: 4500 (418.06 sq.m.),5,4,2,others,2.0,North,New Property,"['Airia Mall', 'Sohna Road', 'Vega Schools', 'Park Hospital']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,4500.0,,0,0,0,0,1,0,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",49
